"item_id","Verb","DOsentence","PDsentence","judgement_rows","mean_DOpreference_01","sd_DOpreference_01","se_DOpreference_01"
"Bob lent a woman something
Bob lent something to a woman","lend","Bob lent a woman something","Bob lent something to a woman",14,0.487142857142857,0.258558982154454,0.0691027946782117
"Bob lent the woman who was wearing the hat some money
Bob lent some money to the woman who was wearing the hat","lend","Bob lent the woman who was wearing the hat some money","Bob lent some money to the woman who was wearing the hat",6,0.263333333333333,0.202550405249327,0.0826908566758005
"John lent a man from work something
John lent something to a man from work","lend","John lent a man from work something","John lent something to a man from work",14,0.386428571428571,0.166715194400379,0.0445565099011165
"John lent a woman wearing a hat the apartment
John lent the apartment to a woman wearing a hat","lend","John lent a woman wearing a hat the apartment","John lent the apartment to a woman wearing a hat",11,0.224545454545455,0.28285556866937,0.0852841628308097
"John lent her the room
John lent the room to her","lend","John lent her the room","John lent the room to her",14,0.533571428571429,0.327921358838392,0.0876406696127585
"John lent the woman the room
John lent the room to the woman","lend","John lent the woman the room","John lent the room to the woman",13,0.372307692307692,0.162693671570933,0.0451231057724999
"Juan lent a man some money
Juan lent some money to a man","lend","Juan lent a man some money","Juan lent some money to a man",11,0.697272727272727,0.230525092304109,0.0695059305395251
"Juan lent the woman the apartment
Juan lent the apartment to the woman","lend","Juan lent the woman the apartment","Juan lent the apartment to the woman",10,0.614,0.27837624419719,0.088030297814635
"Linda lent a woman who was from work the room
Linda lent the room to a woman who was from work","lend","Linda lent a woman who was from work the room","Linda lent the room to a woman who was from work",10,0.135,0.177529340298066,0.0561397066849005
"Linda lent the man who was from work the room
Linda lent the room to the man who was from work","lend","Linda lent the man who was from work the room","Linda lent the room to the man who was from work",9,0.298888888888889,0.21991159840061,0.0733038661335366
"Maria lent a woman who was from work some money
Maria lent some money to a woman who was from work","lend","Maria lent a woman who was from work some money","Maria lent some money to a woman who was from work",9,0.33,0.302696217353306,0.100898739117769
"Maria lent him some money
Maria lent some money to him","lend","Maria lent him some money","Maria lent some money to him",7,0.645714285714286,0.194838150170609,0.0736418987513269
"Maria lent him the apartment
Maria lent the apartment to him","lend","Maria lent him the apartment","Maria lent the apartment to him",6,0.625,0.258360213655276,0.105475115548645
"Mary lent a woman the apartment
Mary lent the apartment to a woman","lend","Mary lent a woman the apartment","Mary lent the apartment to a woman",9,0.271111111111111,0.332206428461448,0.110735476153816
"Mary lent the man a bike
Mary lent a bike to the man","lend","Mary lent the man a bike","Mary lent a bike to the man",10,0.524,0.351004906581724,0.110997497469287
"Mary lent the man who was from work a bike
Mary lent a bike to the man who was from work","lend","Mary lent the man who was from work a bike","Mary lent a bike to the man who was from work",11,0.430909090909091,0.361232737870048,0.108915768500705
"Michael lent a woman the room
Michael lent the room to a woman","lend","Michael lent a woman the room","Michael lent the room to a woman",10,0.274,0.180197422598413,0.0569834283902883
"Michael lent her a bike
Michael lent a bike to her","lend","Michael lent her a bike","Michael lent a bike to her",10,0.655,0.21287711635276,0.0673176549403399
"Michael lent her something
Michael lent something to her","lend","Michael lent her something","Michael lent something to her",11,0.649090909090909,0.233814223068424,0.0704976407787658
"Michael lent the man some money
Michael lent some money to the man","lend","Michael lent the man some money","Michael lent some money to the man",12,0.703333333333333,0.202095087130846,0.0583398264784474
"Michael lent the woman who was wearing the hat the apartment
Michael lent the apartment to the woman who was wearing the hat","lend","Michael lent the woman who was wearing the hat the apartment","Michael lent the apartment to the woman who was wearing the hat",10,0.192,0.25563863383908,0.0808400340865286
"Alice offered a woman a payment
Alice offered a payment to a woman","offer","Alice offered a woman a payment","Alice offered a payment to a woman",9,0.47,0.135462171841441,0.0451540572804802
"Alice offered a woman who was wearing a hat the gift
Alice offered the gift to a woman who was wearing a hat","offer","Alice offered a woman who was wearing a hat the gift","Alice offered the gift to a woman who was wearing a hat",13,0.226153846153846,0.180625693149233,0.0500965537165989
"Alice offered the woman the gift
Alice offered the gift to the woman","offer","Alice offered the woman the gift","Alice offered the gift to the woman",9,0.444444444444444,0.308589983275183,0.102863327758394
"Bob offered a woman from work some advice
Bob offered some advice to a woman from work","offer","Bob offered a woman from work some advice","Bob offered some advice to a woman from work",9,0.295555555555556,0.243162040166178,0.0810540133887259
"Bob offered a woman who was from work something
Bob offered something to a woman who was from work","offer","Bob offered a woman who was from work something","Bob offered something to a woman who was from work",9,0.393333333333333,0.32241277890307,0.107470926301023
"Bob offered the man who was from work the gift
Bob offered the gift to the man who was from work","offer","Bob offered the man who was from work the gift","Bob offered the gift to the man who was from work",11,0.199090909090909,0.216585066219005,0.0653028545311563
"John offered her a payment
John offered a payment to her","offer","John offered her a payment","John offered a payment to her",11,0.68,0.305843097028525,0.0922151634148981
"John offered her something
John offered something to her","offer","John offered her something","John offered something to her",8,0.67125,0.208356665360146,0.0736652054907878
"Juan offered a man something
Juan offered something to a man","offer","Juan offered a man something","Juan offered something to a man",10,0.627,0.34357758302246,0.108648771532657
"Juan offered a man the gift
Juan offered the gift to a man","offer","Juan offered a man the gift","Juan offered the gift to a man",11,0.545454545454546,0.330223065104897,0.0995660003703677
"Juan offered her the gift
Juan offered the gift to her","offer","Juan offered her the gift","Juan offered the gift to her",9,0.571111111111111,0.245226652530085,0.0817422175100284
"Juan offered the woman a payment
Juan offered a payment to the woman","offer","Juan offered the woman a payment","Juan offered a payment to the woman",8,0.69375,0.292766972180948,0.103508755668301
"Juan offered the woman some advice
Juan offered some advice to the woman","offer","Juan offered the woman some advice","Juan offered some advice to the woman",9,0.64,0.216390850083824,0.0721302833612747
"Juan offered the woman something
Juan offered something to the woman","offer","Juan offered the woman something","Juan offered something to the woman",7,0.547142857142857,0.132629092549396,0.0501290850711244
"Juan offered the woman who was from work the job
Juan offered the job to the woman who was from work","offer","Juan offered the woman who was from work the job","Juan offered the job to the woman who was from work",10,0.293,0.401692253680186,0.127026244007554
"Linda offered a man some advice
Linda offered some advice to a man","offer","Linda offered a man some advice","Linda offered some advice to a man",10,0.366,0.327013421403125,0.103410723707833
"Linda offered the woman from work something
Linda offered something to the woman from work","offer","Linda offered the woman from work something","Linda offered something to the woman from work",9,0.277777777777778,0.197659921189007,0.0658866403963357
"Maria offered a man from work a payment
Maria offered a payment to a man from work","offer","Maria offered a man from work a payment","Maria offered a payment to a man from work",11,0.508181818181818,0.35538199678144,0.107151703688303
"Maria offered him some advice
Maria offered some advice to him","offer","Maria offered him some advice","Maria offered some advice to him",6,0.745,0.172713635825316,0.0705100465654836
"Mary offered him the job
Mary offered the job to him","offer","Mary offered him the job","Mary offered the job to him",10,0.696,0.305148415620261,0.0964964017751727
"Mary offered the woman the job
Mary offered the job to the woman","offer","Mary offered the woman the job","Mary offered the job to the woman",11,0.37,0.258766303834174,0.0780209762004599
"Mary offered the woman who was from work some advice
Mary offered some advice to the woman who was from work","offer","Mary offered the woman who was from work some advice","Mary offered some advice to the woman who was from work",9,0.363333333333333,0.271799558498538,0.0905998528328459
"Michael offered a man the job
Michael offered the job to a man","offer","Michael offered a man the job","Michael offered the job to a man",10,0.491,0.225804733736425,0.0714057265054966
"Michael offered a man who was from work the job
Michael offered the job to a man who was from work","offer","Michael offered a man who was from work the job","Michael offered the job to a man who was from work",11,0.210909090909091,0.207048523078748,0.0624274785863135
"Michael offered the woman who was from work a payment
Michael offered a payment to the woman who was from work","offer","Michael offered the woman who was from work a payment","Michael offered a payment to the woman who was from work",10,0.379,0.25251842617036,0.0798533377859408
"Alice sold a man from work a bike
Alice sold a bike to a man from work","sell","Alice sold a man from work a bike","Alice sold a bike to a man from work",12,0.146666666666667,0.187438878926794,0.0541089436024931
"Alice sold a man some coffee
Alice sold some coffee to a man","sell","Alice sold a man some coffee","Alice sold some coffee to a man",13,0.383846153846154,0.266787632819891,0.073993576137829
"Alice sold a woman something
Alice sold something to a woman","sell","Alice sold a woman something","Alice sold something to a woman",11,0.360909090909091,0.249818115654351,0.0753229959508268
"Alice sold the woman some coffee
Alice sold some coffee to the woman","sell","Alice sold the woman some coffee","Alice sold some coffee to the woman",8,0.50125,0.306101640449238,0.108223272846991
"Bob sold her some coffee
Bob sold some coffee to her","sell","Bob sold her some coffee","Bob sold some coffee to her",14,0.669285714285714,0.223588367858791,0.0597565048711126
"Bob sold the man wearing the hat a bike
Bob sold a bike to the man wearing the hat","sell","Bob sold the man wearing the hat a bike","Bob sold a bike to the man wearing the hat",7,0.445714285714286,0.36605360003043,0.138355256028632
"Bob sold the man who was wearing the hat something
Bob sold something to the man who was wearing the hat","sell","Bob sold the man who was wearing the hat something","Bob sold something to the man who was wearing the hat",13,0.214615384615385,0.234400490066872,0.0650109989176919
"John sold a man from work something
John sold something to a man from work","sell","John sold a man from work something","John sold something to a man from work",11,0.211818181818182,0.180156497624603,0.0543192278332148
"John sold a man the car
John sold the car to a man","sell","John sold a man the car","John sold the car to a man",10,0.37,0.298105126870818,0.0942691183085249
"John sold her something
John sold something to her","sell","John sold her something","John sold something to her",12,0.474166666666667,0.259175557676587,0.0748175389959743
"Juan sold a man the house
Juan sold the house to a man","sell","Juan sold a man the house","Juan sold the house to a man",14,0.366428571428571,0.236662926246044,0.0632508275831463
"Juan sold the woman the car
Juan sold the car to the woman","sell","Juan sold the woman the car","Juan sold the car to the woman",11,0.345454545454545,0.290494875561124,0.0875875005233845
"Linda sold a woman who was from work some coffee
Linda sold some coffee to a woman who was from work","sell","Linda sold a woman who was from work some coffee","Linda sold some coffee to a woman who was from work",10,0.381,0.297823586857873,0.0941800875391868
"Linda sold him the car
Linda sold the car to him","sell","Linda sold him the car","Linda sold the car to him",11,0.557272727272727,0.291893504864048,0.0880092031250752
"Linda sold the woman who was wearing the hat the house
Linda sold the house to the woman who was wearing the hat","sell","Linda sold the woman who was wearing the hat the house","Linda sold the house to the woman who was wearing the hat",10,0.106,0.179517872833506,0.0567685358862343
"Maria sold him the house
Maria sold the house to him","sell","Maria sold him the house","Maria sold the house to him",8,0.49375,0.224113332299276,0.0792360285115661
"Maria sold the man a bike
Maria sold a bike to the man","sell","Maria sold the man a bike","Maria sold a bike to the man",9,0.454444444444444,0.313053953461345,0.104351317820448
"Maria sold the man who was wearing the hat the car
Maria sold the car to the man who was wearing the hat","sell","Maria sold the man who was wearing the hat the car","Maria sold the car to the man who was wearing the hat",7,0.00571428571428571,0.00786795792469443,0.0029738085706659
"Maria sold the woman the house
Maria sold the house to the woman","sell","Maria sold the woman the house","Maria sold the house to the woman",13,0.306923076923077,0.236727150090022,0.0656562983033871
"Mary sold a man wearing a hat the car
Mary sold the car to a man wearing a hat","sell","Mary sold a man wearing a hat the car","Mary sold the car to a man wearing a hat",12,0.199166666666667,0.274440201578457,0.0792240621288887
"Mary sold a man who was wearing a hat the house
Mary sold the house to a man who was wearing a hat","sell","Mary sold a man who was wearing a hat the house","Mary sold the house to a man who was wearing a hat",10,0.009,0.0191195071996,0.00604611904907235
"Mary sold him a bike
Mary sold a bike to him","sell","Mary sold him a bike","Mary sold a bike to him",10,0.767,0.174231646570497,0.0550968843644236
"Mary sold the man who was from work some coffee
Mary sold some coffee to the man who was from work","sell","Mary sold the man who was from work some coffee","Mary sold some coffee to the man who was from work",11,0.283636363636364,0.277354384399192,0.0836254933647382
"Michael sold a woman a bike
Michael sold a bike to a woman","sell","Michael sold a woman a bike","Michael sold a bike to a woman",9,0.345555555555556,0.199881909581077,0.0666273031936923
"Michael sold the woman something
Michael sold something to the woman","sell","Michael sold the woman something","Michael sold something to the woman",9,0.387777777777778,0.213059720370708,0.0710199067902361
"Alice sent him a text
Alice sent a text to him","send","Alice sent him a text","Alice sent a text to him",9,0.6,0.195128163010879,0.0650427210036262
"Alice sent him something
Alice sent something to him","send","Alice sent him something","Alice sent something to him",13,0.583076923076923,0.176747683407007,0.0490209873341107
"Alice sent him the present
Alice sent the present to him","send","Alice sent him the present","Alice sent the present to him",8,0.74875,0.203640965567203,0.0719979538399728
"Alice sent the man an email
Alice sent an email to the man","send","Alice sent the man an email","Alice sent an email to the man",11,0.723636363636364,0.199613262448803,0.0601856631564925
"Alice sent the woman the letter
Alice sent the letter to the woman","send","Alice sent the woman the letter","Alice sent the letter to the woman",10,0.307,0.302179122743816,0.0955574289222048
"Bob sent a woman a text
Bob sent a text to a woman","send","Bob sent a woman a text","Bob sent a text to a woman",12,0.414166666666667,0.216604303379282,0.0625282764318301
"Bob sent a woman who was from work something
Bob sent something to a woman who was from work","send","Bob sent a woman who was from work something","Bob sent something to a woman who was from work",7,0.302857142857143,0.381912480625002,0.144349349475076
"John sent a woman something
John sent something to a woman","send","John sent a woman something","John sent something to a woman",13,0.406923076923077,0.301865991663647,0.0837225624047741
"John sent the man from work an email
John sent an email to the man from work","send","John sent the man from work an email","John sent an email to the man from work",11,0.557272727272727,0.328453677376001,0.099032509897149
"John sent the woman from work something
John sent something to the woman from work","send","John sent the woman from work something","John sent something to the woman from work",13,0.416153846153846,0.357597037215972,0.09917957335663
"John sent the woman who was wearing the hat a text
John sent a text to the woman who was wearing the hat","send","John sent the woman who was wearing the hat a text","John sent a text to the woman who was wearing the hat",12,0.280833333333333,0.289056720867701,0.0834434878020188
"Juan sent a man wearing a hat a text
Juan sent a text to a man wearing a hat","send","Juan sent a man wearing a hat a text","Juan sent a text to a man wearing a hat",11,0.217272727272727,0.201895562560989,0.0608738025320478
"Juan sent a woman who was from work an email
Juan sent an email to a woman who was from work","send","Juan sent a woman who was from work an email","Juan sent an email to a woman who was from work",12,0.3375,0.34988634518291,0.101003487788564
"Juan sent the man a text
Juan sent a text to the man","send","Juan sent the man a text","Juan sent a text to the man",9,0.598888888888889,0.225357740295538,0.0751192467651793
"Juan sent the man something
Juan sent something to the man","send","Juan sent the man something","Juan sent something to the man",13,0.406153846153846,0.22548238887396,0.0625375626768595
"Juan sent the woman who was wearing the hat the letter
Juan sent the letter to the woman who was wearing the hat","send","Juan sent the woman who was wearing the hat the letter","Juan sent the letter to the woman who was wearing the hat",10,0.343,0.37818425844201,0.119592363189851
"Linda sent him an email
Linda sent an email to him","send","Linda sent him an email","Linda sent an email to him",9,0.671111111111111,0.366075280661111,0.122025093553704
"Linda sent the man the present
Linda sent the present to the man","send","Linda sent the man the present","Linda sent the present to the man",13,0.383846153846154,0.311435880547357,0.086376772025598
"Maria sent a woman who was from work the letter
Maria sent the letter to a woman who was from work","send","Maria sent a woman who was from work the letter","Maria sent the letter to a woman who was from work",9,0.292222222222222,0.314116927981356,0.104705642660452
"Maria sent a woman who was wearing a hat the present
Maria sent the present to a woman who was wearing a hat","send","Maria sent a woman who was wearing a hat the present","Maria sent the present to a woman who was wearing a hat",10,0.232,0.145204836160661,0.0459178009539268
"Maria sent the woman who was from work the present
Maria sent the present to the woman who was from work","send","Maria sent the woman who was from work the present","Maria sent the present to the woman who was from work",10,0.289,0.191221221509422,0.0604694596929355
"Mary sent a man an email
Mary sent an email to a man","send","Mary sent a man an email","Mary sent an email to a man",10,0.439,0.118645129131653,0.037518884134082
"Mary sent him the letter
Mary sent the letter to him","send","Mary sent him the letter","Mary sent the letter to him",13,0.414615384615385,0.235959579328586,0.0654434124773945
"Michael sent a man the letter
Michael sent the letter to a man","send","Michael sent a man the letter","Michael sent the letter to a man",11,0.4,0.376669616507623,0.113570162534804
"Michael sent a man the present
Michael sent the present to a man","send","Michael sent a man the present","Michael sent the present to a man",7,0.342857142857143,0.244248117407572,0.0923171109794486
"Alice showed a man a trick
Alice showed a trick to a man","show","Alice showed a man a trick","Alice showed a trick to a man",13,0.53,0.29743346594939,0.0824932009630382
"Alice showed the woman who was from work the city
Alice showed the city to the woman who was from work","show","Alice showed the woman who was from work the city","Alice showed the city to the woman who was from work",7,0.471428571428571,0.386713872323736,0.146164104958199
"Bob showed a man wearing a hat a trick
Bob showed a trick to a man wearing a hat","show","Bob showed a man wearing a hat a trick","Bob showed a trick to a man wearing a hat",10,0.307,0.229543024289565,0.072587877775838
"Bob showed a woman who was wearing a hat the city
Bob showed the city to a woman who was wearing a hat","show","Bob showed a woman who was wearing a hat the city","Bob showed the city to a woman who was wearing a hat",9,0.305555555555556,0.323462173642882,0.107820724547627
"Bob showed the woman wearing the hat a picture
Bob showed a picture to the woman wearing the hat","show","Bob showed the woman wearing the hat a picture","Bob showed a picture to the woman wearing the hat",9,0.278888888888889,0.23137871793039,0.0771262393101301
"John showed a woman the city
John showed the city to a woman","show","John showed a woman the city","John showed the city to a woman",11,0.435454545454545,0.328553302718558,0.0990625480681376
"John showed her a trick
John showed a trick to her","show","John showed her a trick","John showed a trick to her",11,0.833636363636364,0.160141982457613,0.0482846244541436
"John showed her something
John showed something to her","show","John showed her something","John showed something to her",9,0.62,0.300749064836451,0.100249688278817
"John showed the woman the city
John showed the city to the woman","show","John showed the woman the city","John showed the city to the woman",10,0.763,0.24747839411867,0.0782595397095814
"Juan showed a man from work the way
Juan showed the way to a man from work","show","Juan showed a man from work the way","Juan showed the way to a man from work",8,0.52875,0.336470652509249,0.118960340029776
"Juan showed a woman a picture
Juan showed a picture to a woman","show","Juan showed a woman a picture","Juan showed a picture to a woman",10,0.323,0.281584800726176,0.089044932477935
"Juan showed her a picture
Juan showed a picture to her","show","Juan showed her a picture","Juan showed a picture to her",10,0.693,0.241617236324085,0.0764060788739279
"Juan showed her the city
Juan showed the city to her","show","Juan showed her the city","Juan showed the city to her",6,0.62,0.318873015477949,0.130179363443929
"Juan showed the man who was wearing the hat something
Juan showed something to the man who was wearing the hat","show","Juan showed the man who was wearing the hat something","Juan showed something to the man who was wearing the hat",11,0.243636363636364,0.275944658483281,0.0832004450083458
"Linda showed a man who was from work a picture
Linda showed a picture to a man who was from work","show","Linda showed a man who was from work a picture","Linda showed a picture to a man who was from work",8,0.4075,0.255664400561137,0.090391015672387
"Linda showed the man the way
Linda showed the way to the man","show","Linda showed the man the way","Linda showed the way to the man",12,0.761666666666667,0.246090646024196,0.0710402503635592
"Linda showed the man wearing the hat a trick
Linda showed a trick to the man wearing the hat","show","Linda showed the man wearing the hat a trick","Linda showed a trick to the man wearing the hat",11,0.307272727272727,0.272473518312915,0.0821538568683608
"Maria showed a man from work something
Maria showed something to a man from work","show","Maria showed a man from work something","Maria showed something to a man from work",12,0.355833333333333,0.254217456425626,0.0733862584500186
"Maria showed the man a picture
Maria showed a picture to the man","show","Maria showed the man a picture","Maria showed a picture to the man",9,0.573333333333333,0.207545175805173,0.0691817252683909
"Maria showed the woman who was from work the way
Maria showed the way to the woman who was from work","show","Maria showed the woman who was from work the way","Maria showed the way to the woman who was from work",11,0.413636363636364,0.351973656038992,0.106124050288268
"Mary showed a woman the way
Mary showed the way to a woman","show","Mary showed a woman the way","Mary showed the way to a woman",9,0.661111111111111,0.341922668320062,0.113974222773354
"Mary showed him the way
Mary showed the way to him","show","Mary showed him the way","Mary showed the way to him",11,0.82,0.193649167310371,0.0583874208121142
"Michael showed a woman something
Michael showed something to a woman","show","Michael showed a woman something","Michael showed something to a woman",7,0.472857142857143,0.240673657727242,0.09096609221008
"Michael showed the man a trick
Michael showed a trick to the man","show","Michael showed the man a trick","Michael showed a trick to the man",7,0.688571428571429,0.179204591777905,0.0677329690921697
"Michael showed the man something
Michael showed something to the man","show","Michael showed the man something","Michael showed something to the man",10,0.481,0.223728506106049,0.0707491656802004
